MsgID.GLOBAL_POSITION,1521054490.9066689,-122.3943410,37.7915164,0.2310000
MsgID.LOCAL_VELOCITY,1521054490.9066689,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521054490.9069183,-107.1161041,276.6426697,-0.2315254
MsgID.LOCAL_VELOCITY,1521054490.9069183,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1521054490.9070542,-122.3943414,37.7915146,0.2340000
MsgID.LOCAL_VELOCITY,1521054490.9070542,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521054490.9071836,-107.3181534,276.6096802,-0.2344035
MsgID.LOCAL_VELOCITY,1521054490.9071836,0.0000000,0.0000000,-0.0000000
MsgID.LOCAL_POSITION,1521054490.9073057,-107.3314285,276.6001587,-0.2248168
MsgID.LOCAL_VELOCITY,1521054490.9073057,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1521054490.9074354,-122.3943415,37.7915144,0.2240000
MsgID.LOCAL_VELOCITY,1521054490.9074354,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521054490.9076529,-107.2013626,276.6416626,-0.2014678
MsgID.LOCAL_VELOCITY,1521054490.9076529,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1521054490.9078140,-122.3943410,37.7915156,0.2010000
MsgID.LOCAL_VELOCITY,1521054490.9078140,0.0000000,0.0000000,0.0000000
MsgID.STATE,1521054490.9081986,False,False
MsgID.GLOBAL_HOME,1521054490.9087186,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,1521054490.9674025,-107.0866852,276.6417542,-0.1732206
MsgID.LOCAL_VELOCITY,1521054490.9674025,-0.0000092,0.0000397,0.0000169
MsgID.GLOBAL_POSITION,1521054490.9677529,-122.3943410,37.7915166,0.1730000
MsgID.LOCAL_VELOCITY,1521054490.9677529,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521054491.2170036,-107.2320099,276.5765991,-0.1366675
MsgID.LOCAL_VELOCITY,1521054491.2170036,-0.0000004,0.0000389,0.0000130
MsgID.GLOBAL_POSITION,1521054491.2172019,-122.3943418,37.7915153,0.1360000
MsgID.LOCAL_VELOCITY,1521054491.2172019,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521054491.4661078,-107.2659607,276.5281677,-0.1055228
MsgID.LOCAL_VELOCITY,1521054491.4661078,-0.0000001,0.0000299,0.0000097
MsgID.GLOBAL_POSITION,1521054491.4663231,-122.3943423,37.7915150,0.1050000
MsgID.LOCAL_VELOCITY,1521054491.4663231,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521054491.7179146,-107.2389679,276.7589111,-0.0754616
MsgID.LOCAL_VELOCITY,1521054491.7179146,-0.0000080,0.0000355,0.0000085
MsgID.GLOBAL_POSITION,1521054491.7181346,-122.3943397,37.7915153,0.0750000
MsgID.LOCAL_VELOCITY,1521054491.7181346,0.0000000,0.0000000,0.0000000
MsgID.STATE,1521054491.7474337,True,True
MsgID.GLOBAL_HOME,1521054492.7391725,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,1521054492.7393465,-107.2371445,276.6026917,-0.0569903
MsgID.LOCAL_VELOCITY,1521054492.7393465,0.0000108,0.0000251,0.0000043
MsgID.GLOBAL_POSITION,1521054492.7395003,-122.3943415,37.7915153,0.0560000
MsgID.LOCAL_VELOCITY,1521054492.7395003,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521054492.7396491,-107.2032394,276.5377197,-0.0458373
MsgID.LOCAL_VELOCITY,1521054492.7396491,-0.0000023,0.0000171,0.0000069
MsgID.GLOBAL_POSITION,1521054492.7397687,-122.3943422,37.7915156,0.0450000
MsgID.LOCAL_VELOCITY,1521054492.7397687,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521054492.7399054,-107.3251801,276.6843567,-0.0430220
MsgID.LOCAL_VELOCITY,1521054492.7399054,0.0000062,0.0000193,0.0000039
MsgID.GLOBAL_POSITION,1521054492.7400546,-122.3943406,37.7915145,0.0430000
MsgID.LOCAL_VELOCITY,1521054492.7400546,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521054492.7401872,-107.3740616,276.7368164,-0.0438361
MsgID.LOCAL_VELOCITY,1521054492.7401872,0.0000056,0.0000243,0.0000270
MsgID.GLOBAL_POSITION,1521054492.7403119,-122.3943400,37.7915141,0.0430000
MsgID.LOCAL_VELOCITY,1521054492.7403119,0.0000000,0.0000000,0.0000000
MsgID.STATE,1521054492.7470973,True,True
MsgID.GLOBAL_HOME,1521054492.7512732,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,1521054492.9672191,-107.3022919,276.7207947,-0.1728210
MsgID.LOCAL_VELOCITY,1521054492.9672191,-0.0005700,0.0002758,-1.5128462
MsgID.GLOBAL_POSITION,1521054492.9675004,-122.3943401,37.7915147,0.1720000
MsgID.LOCAL_VELOCITY,1521054492.9675004,0.0000000,0.0000000,-1.5100000
MsgID.LOCAL_POSITION,1521054493.2185402,-107.3702774,276.8207092,-0.8803153
MsgID.LOCAL_VELOCITY,1521054493.2185402,-0.0034341,0.0007027,-3.7110343
MsgID.GLOBAL_POSITION,1521054493.2187643,-122.3943390,37.7915141,0.8800000
MsgID.LOCAL_VELOCITY,1521054493.2187643,0.0000000,0.0000000,-3.7100000
MsgID.LOCAL_POSITION,1521054493.4686949,-107.4002457,276.7589111,-1.8488141
MsgID.LOCAL_VELOCITY,1521054493.4686949,-0.0038432,-0.0068724,-4.4919333
MsgID.GLOBAL_POSITION,1521054493.4689026,-122.3943397,37.7915138,1.8480000
MsgID.LOCAL_VELOCITY,1521054493.4689026,0.0000000,0.0000000,-4.4900000
MsgID.LOCAL_POSITION,1521054493.7182062,-107.2204285,276.5140381,-3.0770214
MsgID.LOCAL_VELOCITY,1521054493.7182062,-0.0001727,-0.0012041,-4.7051244
MsgID.GLOBAL_POSITION,1521054493.7184370,-122.3943425,37.7915154,3.0770000
MsgID.LOCAL_VELOCITY,1521054493.7184370,0.0000000,0.0000000,-4.7000000
MsgID.STATE,1521054493.7480056,True,True
MsgID.GLOBAL_HOME,1521054493.7521923,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,1521054493.9693942,-107.1049271,276.6656494,-4.1755128
MsgID.LOCAL_VELOCITY,1521054493.9693942,-0.0117213,0.0233710,-4.7055984
MsgID.GLOBAL_POSITION,1521054493.9699297,-122.3943408,37.7915165,4.1750000
MsgID.LOCAL_VELOCITY,1521054493.9699297,-0.0100000,0.0200000,-4.7000000
MsgID.LOCAL_POSITION,1521054494.2187693,-107.2212677,276.7031860,-5.3097482
MsgID.LOCAL_VELOCITY,1521054494.2187693,-0.0205334,0.0272432,-3.0891669
MsgID.GLOBAL_POSITION,1521054494.2193034,-122.3943403,37.7915154,5.3090000
MsgID.LOCAL_VELOCITY,1521054494.2193034,-0.0200000,0.0200000,-3.0800000
MsgID.LOCAL_POSITION,1521054494.4685340,-107.3854828,276.4922791,-5.7518926
MsgID.LOCAL_VELOCITY,1521054494.4685340,-0.0193691,0.0256984,-0.6890870
